animeID,name,type,source,episodes,duration,genre,rating,score,scored_by,rank,popularity,members,favorites
18137,Train Heroes,TV,Unknown,26,0:24:00,['Kids'],G - All Ages,5.91,22,13321,11547,259,1
18139,Tonari no Seki-kun,TV,Manga,21,0:07:00,"['Comedy', 'School', 'Seinen']",G - All Ages,7.66,63547,1222,709,134861,481
18153,Kyoukai no Kanata,TV,Light novel,12,0:24:00,"['Slice of Life', 'Supernatural', 'Fantasy']",PG-13 - Teens 13 or older,7.86,286703,790,78,574048,8346
18155,Line Town,TV,Other,50,0:24:00,"['Comedy', 'Kids']",PG-13 - Teens 13 or older,6.4,51,6197,10116,518,2
18179,Yowamushi Pedal,TV,Manga,38,0:24:00,"['Comedy', 'Sports', 'Drama', 'Shounen']",PG-13 - Teens 13 or older,8.09,66380,465,701,135998,1950
18191,Boku wa Ou-sama (TV),TV,Picture book,12,0:24:00,['Kids'],PG - Children,5.82,28,10517,11965,214,0
18195,Little Busters!: Refrain,TV,Visual novel,13,0:24:00,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']",PG-13 - Teens 13 or older,8.31,50990,241,942,103581,1708
18205,World Fool News (TV),TV,Unknown,12,0:10:00,"['Slice of Life', 'Comedy']",G - All Ages,6.02,684,7672,7710,1703,5
18227,Bakujuu Gasshin Ziguru Hazeru,TV,Other,6,0:02:00,"['Action', 'Mecha']",PG - Children,4.26,35,10467,10903,355,1
18229,Gatchaman Crowds,TV,Original,12,0:23:00,"['Sci-Fi', 'Adventure']",PG-13 - Teens 13 or older,7.4,53309,2050,676,141085,1167
18241,Himitsukessha Taka no Tsume MAX,TV,Unknown,38,0:05:00,"['Comedy', 'Parody', 'Super Power']",PG-13 - Teens 13 or older,6.13,38,11208,11632,247,0
18245,White Album 2,TV,Visual novel,13,0:23:00,"['Drama', 'Music', 'Romance', 'Slice of Life']",PG-13 - Teens 13 or older,7.86,65800,798,664,143244,2567
18247,IS: Infinite Stratos 2,TV,Light novel,12,0:24:00,"['Action', 'Sci-Fi', 'Harem', 'Comedy', 'Ecchi', 'Mecha']",PG-13 - Teens 13 or older,6.77,125797,4556,389,220824,431
18269,Ujusonyeon Kaesi,Movie,Unknown,1,1:10:00,"['Action', 'Adventure', 'Sci-Fi', 'Shounen']",G - All Ages,5.12,17,13388,13879,108,0
18271,Cheorin Samchongsa,Movie,Unknown,1,1:10:00,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Shounen']",PG-13 - Teens 13 or older,4.32,41,10600,12319,189,0
18273,Heungnyong Wang gwa Bihodongja,Movie,Unknown,1,1:10:00,"['Action', 'Adventure', 'Martial Arts', 'Shounen']",PG - Children,5.35,61,9220,12345,188,2
18277,Strike the Blood,TV,Light novel,24,0:24:00,"['Action', 'Harem', 'Supernatural', 'Ecchi', 'Vampire', 'Fantasy', 'School']",R+ - Mild Nudity,7.33,178120,2368,183,360249,1861
18283,Sonyeon 007 Eunhateukgongdae,Movie,Unknown,1,1:20:00,"['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen', 'Space']",None,4.73,26,12980,13438,130,0
18295,Kakumeiki Valvrave 2nd Season,TV,Original,12,0:24:00,"['Action', 'Space', 'Mecha']",R - 17+ (violence & profanity),7.37,41020,2184,1298,71087,205
18301,Kkureogi Balmyeongwang,Movie,Unknown,1,1:10:00,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']",None,4.1,20,11683,13865,108,0
18303,Sonyeon 007 Jihajeguk,Movie,Unknown,1,1:10:00,"['Action', 'Adventure', 'Sci-Fi', 'Shounen']",None,5.06,18,12981,13734,115,0
18305,15 Sonyeon Uju Pyoryugi,Movie,Unknown,1,1:10:00,"['Action', 'Sci-Fi', 'Shounen', 'Space']",PG-13 - Teens 13 or older,5.85,61,8099,11151,313,2
18307,Eunhajeonseol Tera,Movie,Unknown,1,1:15:00,"['Action', 'Adventure', 'Sci-Fi', 'Shounen', 'Space']",None,4.17,24,10853,12777,163,0
18309,Hopiwa Chadolbawi,Movie,Unknown,1,1:10:00,"['Action', 'Adventure', 'Historical', 'Shounen']",None,4.72,25,11250,13121,145,0
18311,Meoteoldosa,Movie,Unknown,1,1:20:00,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",None,5.26,19,12004,13615,122,0
18313,Dokkaebi Gamtu,Movie,Unknown,1,1:10:00,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Shounen']",None,4.1,20,10775,13175,142,0
18315,Nareuneun Dwaeji - Haejeok Mateo,Movie,Unknown,1,1:30:00,"['Action', 'Adventure', 'Sci-Fi', 'Shounen']",PG - Children,4.44,16,12199,13820,111,0
18317,Dodani,Movie,Unknown,1,1:10:00,"['Drama', 'School', 'Shounen', 'Slice of Life']",None,5.67,12,10768,13975,103,1
18319,Gancheopjamneun Ttorijanggun,Movie,Unknown,1,1:15:00,"['Action', 'Drama', 'Sci-Fi', 'Shounen']",None,5.13,15,10956,13402,131,0
18321,Kkomaeosa Ttori,Movie,Unknown,1,1:10:00,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Magic', 'Shounen']",None,5.5,18,11682,13938,105,0
18323,Jangdokdae,Special,Unknown,1,1:30:00,"['Historical', 'Drama']",None,4.59,17,11378,14003,103,0
18325,Dokkaebi Bangmang-I,Movie,Unknown,1,1:00:00,"['Action', 'Demons', 'Shounen']",None,4.6,20,10774,13607,122,0
18327,Dokgotak Dasi Chajeun Maundeu,Movie,Unknown,1,1:10:00,"['Shounen', 'Sports']",G - All Ages,5.4,20,10771,13420,130,1
18329,Meoteoldosawa Ttomae,Movie,Unknown,1,1:20:00,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",G - All Ages,4.88,17,12006,13587,124,0
18331,Meoteoldosawa 108 Yogoe,Movie,Unknown,1,1:20:00,"['Action', 'Adventure', 'Fantasy', 'Shounen']",G - All Ages,5.18,17,12005,13642,121,0
18339,Pro Yakyuu wo 10-bai Tanoshiku Miru Houhou,Movie,Unknown,1,1:37:00,"['Comedy', 'Sports']",PG-13 - Teens 13 or older,4.71,14,12625,13716,117,0
18341,Pro Yakyuu wo 10-bai Tanoshiku Miru Houhou Part 2,Movie,Unknown,1,1:46:00,"['Comedy', 'Sports']",PG-13 - Teens 13 or older,4.71,14,12626,13922,107,0
18365,Mazinger ZIP!,TV,Unknown,237,0:01:00,"['Comedy', 'Mecha']",G - All Ages,6.07,106,7514,10171,503,0
18377,Ganbare!! Tabuchi-kun!! Gekitou Pennant Race,Movie,4-koma manga,1,1:35:00,"['Comedy', 'Sports']",PG-13 - Teens 13 or older,5.87,30,10954,12919,155,0
18391,Mini Van,TV,4-koma manga,37,0:03:00,"['Game', 'Slice of Life', 'Comedy', 'Parody']",PG-13 - Teens 13 or older,7.15,435,3084,8362,1269,2
18411,Gingitsune,TV,Manga,12,0:24:00,"['Seinen', 'Slice of Life', 'Supernatural']",PG-13 - Teens 13 or older,7.21,17965,2814,1883,42534,89
18429,Lupin III vs. Detective Conan: The Movie,Movie,Unknown,1,1:48:00,"['Action', 'Comedy', 'Mystery', 'Shounen']",G - All Ages,8,8320,572,3244,15992,32
18447,Spheres,TV,Unknown,26,0:30:00,"['Action', 'Fantasy', 'Super Power']",PG - Children,6.94,36,13063,11003,337,1
18465,Genshiken Nidaime,TV,Manga,13,0:24:00,"['Slice of Life', 'Comedy', 'Parody']",R - 17+ (violence & profanity),7.51,17109,1636,2030,37438,89
18469,Odoriko Clinoppe,TV,Unknown,26,0:02:00,"['Comedy', 'Slice of Life']",G - All Ages,5.38,8,12345,12702,166,0
18489,Xi Yang Yang Yu Hui Tai Lang: Zhi Tu Nian Ding Gua Gua,Movie,Unknown,1,1:27:00,"['Adventure', 'Comedy', 'Kids']",G - All Ages,5.64,45,13516,12277,195,0
18491,Xi Yang Yang Yu Hui Tai Lang: Zhi Kaixin Chuang Long Nian,Movie,Unknown,1,1:27:00,"['Adventure', 'Comedy', 'Kids']",G - All Ages,4.95,41,13515,12355,191,0
18495,Kitakubu Katsudou Kiroku,TV,Manga,12,0:23:00,"['Comedy', 'School', 'Slice of Life']",PG-13 - Teens 13 or older,6.82,12123,4327,2035,37349,92
18497,Yozakura Quartet: Hana no Uta,TV,Manga,13,0:23:00,"['Action', 'Comedy', 'Magic', 'Shounen', 'Super Power', 'Supernatural']",PG-13 - Teens 13 or older,7.56,27217,1504,1089,85638,369
18507,Free!,TV,Original,12,0:24:00,"['Slice of Life', 'Comedy', 'Sports', 'Drama', 'School']",PG-13 - Teens 13 or older,7.56,217842,1479,165,386950,8172
18523,Senyuu. 2,TV,Web manga,13,0:04:00,"['Action', 'Comedy', 'Fantasy', 'Parody', 'Shounen']",PG-13 - Teens 13 or older,7.55,25044,1529,1873,42882,102
18573,Noobow,TV,Unknown,26,0:02:00,"['Kids', 'Slice of Life']",PG - Children,5.9,20,12297,13351,134,1
18591,Sore Ike! Anpanman: Inochi no Hoshi no Dolly,Movie,Unknown,1,1:10:00,"['Fantasy', 'Kids', 'Magic']",PG - Children,6,32,13008,12729,165,0
18627,Visitor,Special,Unknown,1,1:22:00,['Sci-Fi'],R - 17+ (violence & profanity),3.71,21,13439,12212,198,0
18635,Akane-chan,TV,Unknown,26,0:26:00,"['Slice of Life', 'Comedy', 'School', 'Shoujo']",PG-13 - Teens 13 or older,6.09,58,7425,10907,355,0
18671,Chuunibyou demo Koi ga Shitai! Ren,TV,Light novel,12,0:24:00,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",PG-13 - Teens 13 or older,7.6,197193,1361,209,336451,1424
18677,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,TV,Light novel,12,0:24:00,"['Comedy', 'Romance', 'Ecchi', 'Fantasy']",R+ - Mild Nudity,7.02,83030,3618,518,177430,334
18679,Kill la Kill,TV,Original,24,0:24:00,"['Action', 'Comedy', 'Super Power', 'Ecchi', 'School']",PG-13 - Teens 13 or older,8.18,459163,349,28,853312,24385
18689,Diamond no Ace,TV,Manga,75,0:24:00,"['Comedy', 'School', 'Shounen', 'Sports']",PG-13 - Teens 13 or older,8.19,53466,334,805,119894,2464
18759,Captain the Movie,Movie,Manga,1,1:38:00,"['Sports', 'Shounen']",G - All Ages,6.33,36,10569,12226,195,0
18767,BlazBlue: Alter Memory,TV,Game,12,0:24:00,"['Action', 'Fantasy']",R - 17+ (violence & profanity),6.23,27421,6907,1354,68222,166
18771,Gifuu Doudou!!: Kanetsugu to Keiji,TV,Manga,25,0:24:00,"['Action', 'Historical', 'Martial Arts', 'Samurai', 'Seinen']",R - 17+ (violence & profanity),6.52,1628,5702,4773,6389,15
18819,Alice Tantei Kyoku,TV,Original,56,0:12:00,"['Mystery', 'Kids', 'Fantasy']",G - All Ages,5.09,34,10349,12003,214,1
18845,Ninja Hattori-kun (2012),TV,Manga,52,0:24:00,['Comedy'],G - All Ages,6.49,236,5839,9741,623,1
18893,Aoki Hagane no Arpeggio: Ars Nova,TV,Manga,12,0:24:00,"['Action', 'Sci-Fi', 'Seinen']",PG-13 - Teens 13 or older,7.49,51565,1685,867,112758,844
18897,Nisekoi,TV,Manga,20,0:24:00,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']",PG-13 - Teens 13 or older,7.79,317381,915,80,568249,9907
18907,Tensai Eri-chan Kingyo wo Tabeta,Movie,Unknown,1,1:00:00,"['Kids', 'Slice of Life', 'Comedy']",G - All Ages,4.64,14,13215,13805,112,0
18937,Hakken Taiken Daisuki! Shimajirou,TV,Original,101,0:25:00,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Magic']",G - All Ages,6.36,39,11070,12263,193,0
18939,Shimajirou Hesoka,TV,Original,101,0:25:00,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Magic']",G - All Ages,6.37,30,12857,12649,170,0
18943,Shimajirou to Fufu no Daibouken Movie: Sukue! Nana-iro no Hana,Movie,Unknown,1,1:07:00,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Magic']",G - All Ages,6.11,19,12861,12973,153,0
18983,Yuuto-kun ga Iku,TV,Unknown,26,0:01:00,"['Kids', 'Sports']",PG - Children,3.89,18,13657,12773,163,0
19021,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,Movie,Light novel,1,1:37:00,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",PG-13 - Teens 13 or older,7.38,23402,2166,1644,51239,59
19023,"Wake Up, Girls!",TV,Original,12,0:24:00,"['Drama', 'Music']",PG-13 - Teens 13 or older,7.04,13931,3538,1959,39471,140
19049,Tobe! Pegasus Kokoro no Goal ni Shoot,Movie,Unknown,1,1:14:00,"['School', 'Sports']",PG - Children,5.35,17,13268,13189,143,0
19067,Future Card Buddyfight,TV,Card game,64,0:24:00,['Game'],PG - Children,7.07,1604,3382,5118,5376,32
19087,Kaiketsu Tamagon,TV,Unknown,195,0:05:00,"['Adventure', 'Comedy', 'Kids']",PG - Children,5.94,35,11469,12447,182,0
19111,Love Live! School Idol Project 2nd Season,TV,Other,13,0:23:00,"['Music', 'School', 'Slice of Life']",PG-13 - Teens 13 or older,7.96,88017,620,615,153322,2582
19115,Giovanni no Shima,Movie,Original,1,1:42:00,"['Drama', 'Historical']",PG-13 - Teens 13 or older,7.78,5862,928,3096,17503,47
19117,Toaru Hikuushi e no Koiuta,TV,Light novel,13,0:24:00,"['Adventure', 'Drama', 'Romance']",PG-13 - Teens 13 or older,7.24,30565,2716,1282,72063,184
19121,Doctor Chichibuyama,TV,4-koma manga,2,0:30:00,"['Ecchi', 'Parody', 'Seinen']",R+ - Mild Nudity,5.88,54,8029,11232,299,1
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,Manga,1,1:46:00,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",PG-13 - Teens 13 or older,8.28,15221,269,2328,29659,53
19135,Kuroi Ame ni Utarete,Movie,Manga,1,1:30:00,"['Drama', 'Historical']",R+ - Mild Nudity,6,93,7717,10845,366,0
19151,Walkure Romanze,TV,Visual novel,12,0:23:00,"['Action', 'Ecchi', 'Romance', 'Harem', 'School', 'Sports']",R+ - Mild Nudity,6.51,33322,5765,1117,83375,104
19157,Youkai Watch,TV,Game,214,0:23:00,"['Comedy', 'Demons', 'Kids', 'Supernatural']",G - All Ages,7.08,1154,3371,3625,12465,127
19163,Date A Live II,TV,Light novel,10,0:24:00,"['Comedy', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']",R - 17+ (violence & profanity),7.43,180414,1907,257,303631,1742
19167,Senbon Matsubara,Movie,Unknown,1,1:33:00,"['Historical', 'Drama']",PG-13 - Teens 13 or older,6.2,25,12805,12603,175,1
19177,Chiisana Love Letter: Mariko to Nemunoki no Kodomo-tachi,Special,Unknown,1,1:24:00,"['Music', 'School', 'Drama']",PG-13 - Teens 13 or older,5.63,16,10632,12869,156,0
19207,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,TV,Unknown,10,0:04:00,"['Comedy', 'Magic']",PG-13 - Teens 13 or older,5.4,744,9145,6955,2398,2
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",TV,Light novel,10,0:24:00,"['Harem', 'Comedy', 'Romance', 'School']",PG-13 - Teens 13 or older,7.42,144023,1975,306,262173,1363
19257,Meganebu!,TV,Other,12,0:23:00,"['Comedy', 'School', 'Slice of Life']",PG-13 - Teens 13 or older,6.36,7132,6376,2517,25763,61
19291,Pokemon XY,TV,Game,93,0:23:00,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",PG - Children,7.41,26688,2026,1548,56005,275
19305,Nyuru Nyuru!! Kakusen-kun,TV,Unknown,25,0:02:00,['Comedy'],G - All Ages,5.8,57,8257,10627,403,1
19311,Turuturutu Narongi,TV,Original,52,0:15:00,"['Adventure', 'Kids']",G - All Ages,6.42,12,13360,13319,136,0
19315,Pupa,TV,Manga,12,0:04:00,"['Fantasy', 'Horror', 'Psychological']",R - 17+ (violence & profanity),3.67,58328,10239,842,115324,152
19319,Gundam Build Fighters,TV,Original,25,0:25:00,"['Action', 'Sci-Fi', 'Mecha']",G - All Ages,7.9,22014,700,1782,45820,499
19325,Kwaegeol Longman Narongi,TV,Original,52,0:15:00,"['Adventure', 'Kids']",G - All Ages,6.25,16,11785,13504,127,1
19363,Gin no Saji 2nd Season,TV,Manga,11,0:24:00,"['Comedy', 'School', 'Shounen', 'Slice of Life']",PG-13 - Teens 13 or older,8.33,58681,215,1009,94790,487
19365,Samurai Flamenco,TV,Original,22,0:23:00,"['Action', 'Comedy', 'Parody', 'Super Power']",R - 17+ (violence & profanity),6.95,35388,3850,979,98907,767
19367,Galilei Donna,TV,Original,11,0:24:00,"['Action', 'Sci-Fi', 'Adventure']",R - 17+ (violence & profanity),6.47,19676,5912,1795,45363,46
19369,Outbreak Company,TV,Light novel,12,0:24:00,"['Harem', 'Comedy', 'Parody', 'Fantasy']",PG-13 - Teens 13 or older,7.46,105310,1816,422,206949,704
19383,Yami Shibai,TV,Original,13,0:04:00,"['Dementia', 'Horror', 'Demons', 'Supernatural']",PG-13 - Teens 13 or older,7.16,25211,3061,1574,54812,172
19429,Akuma no Riddle,TV,Manga,12,0:23:00,"['Action', 'School', 'Shoujo Ai']",R - 17+ (violence & profanity),6.76,86170,4595,509,180120,892
19445,Tetsujin 28-gou Gao!,TV,Manga,151,0:05:00,"['Slice of Life', 'Mecha']",G - All Ages,7.14,14,13222,11608,250,0
